A,B,C,D,E,F,G,H,clusters
-1.150671568384866,-2.1625663880879302,3.9948917515760485,6.618180759189515,5.214929250012591,-1.1089288622176572,0.26320279833648474,-2.5629651606699695,6
-2.394285140386914,-1.477326176093862,3.683767661540799,6.424457966937405,5.580157975736954,-1.9904601663484947,0.2991398324805913,-2.551447030457645,6
-2.6233087351083393,-1.3540713525605863,2.2483321087726287,5.424078962693302,5.157922942904714,-1.5135531943470855,0.6874127689697731,-1.3238253418842096,6
-2.645117632515538,-1.0455595651138174,3.4705842615368385,6.470068457009452,5.4525962202126035,-1.6636063775213463,0.32362795581215725,-2.8949789975644507,6
-1.7534543386706107,-2.467356496121009,4.006951880857482,5.563748854826058,3.8034769490849234,-1.083701155632868,-0.017344898910114596,-0.9966231626596956,6
-2.565162066395778,-1.7714978404840163,3.4538714173156375,6.441492710189854,5.512628166573422,-2.002996334502244,0.36417478846579787,-2.517426599262296,6
-2.2904583007334236,-2.272220436952049,3.121490190734482,6.309450705367338,5.315281134405932,-2.2887880068955795,0.3708208091301347,-1.7411136287312279,6
-3.3729277441923964,-1.98150467452691,2.5310677768861973,6.787513121761372,5.347595328077139,-1.5386286192896155,0.5520166833777982,-2.891947305987108,6
-1.6092095825901653,-1.7836828320665679,3.804452918946821,6.194195617993505,5.65538460790303,-1.911624748646301,-0.04843912813548529,-2.3412433022870243,6
-2.5874565787707504,-0.9629915902633103,3.875579029725553,6.278988737109805,5.0025805386671856,-1.4647908921879575,0.2279905997288309,-3.0888867971270164,6
-2.8059538040003305,-1.1613649735739828,3.432259783301575,6.487442913719587,5.231536113497916,-1.4735235475579287,0.35680367651704126,-2.9589640947957934,6
-2.5957340541697778,-0.6612020323352634,3.658372779577133,6.303369747040742,5.117003603836537,-1.4458234162530061,0.23347693338665723,-3.0449411360549963,6
-2.408036841364748,-1.2982949691993215,1.9302434541669216,4.840338822431277,4.773034353537933,-1.4025306550989163,0.7401337474291368,-0.9896800829907201,6
-2.395071040598715,-0.9959956341030594,3.6284270986538845,6.549545204444923,5.362777087577646,-1.5720162859907327,0.24902290125884738,-2.9696072248048835,6
-2.487720256666133,-1.5292270116106728,2.286000414127766,5.291213445773533,5.078585279114248,-1.5464557003802815,0.631032589521966,-1.175398440843057,6
-1.9863784581841428,-1.8845184480939214,2.6537133513626894,5.530088576139544,5.177100941390803,-1.8895022855936157,0.49588762758065363,-0.9782926503194254,6
-2.378881323364734,-1.4183770460522165,2.3685361509368703,5.09513215209947,5.128724313569776,-1.5474398090841366,0.776556266304136,-1.0282620912861384,6
-2.4571579588809858,-0.905946890551815,3.548871100321652,6.348201833462868,5.1161247041322575,-1.6880329089845636,0.2998916481520571,-2.9858643642353115,6
-3.179010849402361,-1.777933540116547,2.8769811041570517,6.788235657397731,5.530301601212308,-1.6488230542669728,0.5008122003955198,-2.8154252766089303,6
-2.2886500888386974,-1.726380147666128,3.209805461879863,5.975195599042003,5.6220842872226084,-2.080738946113664,0.025471320793242016,-1.621340293463181,6
-2.508589433627634,-1.8261418935988298,3.3490708026194627,6.13103348371578,5.55071061528411,-2.3904432411129273,0.28391188430899267,-1.9814652753398208,6
-2.6962114705148585,-0.7919802810138119,3.5770586555410686,6.290235548274739,5.167838731405925,-1.4886339840485012,0.1758492460621163,-3.092628041861856,6
-2.8355374484306783,-0.6342728453004577,3.3744428391506953,6.181368005124265,4.934474606568462,-1.3725721129175779,0.2727169442640906,-3.1518442809071137,6
-2.6924093702077023,-1.7018522039969275,2.8775965685059304,6.503568809361897,5.541261279042851,-1.8920139963833202,0.39182095511187215,-2.6167792350822703,6
-2.2169168037316322,-1.5399918698610484,2.0980187155977883,4.995930307645293,4.896868560273824,-1.4138655125362285,0.7461946556115351,-0.9523298750427945,6
-2.4393782603277625,-1.1316022183263592,3.409058438131456,6.482287183208759,5.507928314658277,-1.5845889183726867,0.3270065633442189,-2.8148502203567594,6
-2.3175419734570433,-1.1231096794493813,3.533017832404972,6.410439159135793,5.343000641577733,-1.6536249019997966,0.3255865933823327,-2.952608971220805,6
-2.6685964344046145,-1.1224855310515633,3.5429822875004975,6.463367839589616,5.453200198199975,-1.671722199302944,0.20126522474503414,-2.8668863112875016,6
-2.089182859658821,-1.9448281211192864,2.7090826243212556,5.737047502335805,5.569576271742409,-1.8304694446190006,0.7609046027119866,-1.331640828354359,6
-2.1875264442813567,-1.9437719416604191,3.362516634056993,6.486059558852806,5.642226937157173,-1.7844947282386623,0.4052498502239881,-2.1875550673635553,6
4.904989389121199,-5.314809384361319,3.426937795077625,6.446509417135348,1.3276454897658223,4.261930090194836,0.5178305949619977,-2.6727875229626474,1
-2.0438508857288946,-2.395305653126574,3.0936426365496987,6.349943794932733,5.631003078218182,-1.7752758025202584,0.09423772324121965,-1.8330544638093564,6
-1.9812343347778094,-1.4990121620482717,3.6245443609658,6.342126823273004,5.407751514397881,-2.2988223187639387,0.4646924890457559,-2.325238073628452,6
-2.429264088497748,-1.3775537404934852,3.7696100626935083,6.56496763565579,5.464178277325585,-1.7535896059147336,0.25987155815324064,-2.7733667023257063,6
-2.3785085221024524,-1.3666555761462191,3.5184232571336866,6.643408684851742,5.487782031258927,-1.5470317750668001,0.3704083211686275,-2.9034220198787706,6
-2.4495785219758246,-0.7292559490088277,3.570308790837763,6.252493750646461,5.232096932817353,-1.5551384300930906,0.24417739874371727,-3.028866739607518,6
-1.9170894994115766,-1.4704303897589799,2.087274594689688,4.819964100479104,4.8208501656485385,-1.4768421482836105,0.8080922138369386,-0.8748882467397939,6
-2.1553644374352574,-1.5041865477640393,2.297568547504698,5.459431552151501,5.323196933012281,-1.6282896771005244,0.6121324366060169,-1.4538636803570688,6
-2.3979075195723176,-1.1043735913682318,3.9190067000159186,6.67580564448471,5.487673368505485,-1.5521366789173527,0.20055628151183363,-2.9312958714697293,6
-1.9555962232425461,-2.3981429815570805,3.1502445635688217,5.76284442112165,5.017279356821682,-1.7984595604745106,0.286231194204044,-0.9461104125874816,6
-2.1101983007541922,-2.007762715324826,3.7367172373807236,6.818544064991931,5.64938263943283,-1.692916178270099,0.34943356099932465,-2.2579548948697474,6
-2.588732013070489,-1.4289990693515269,3.437742171908203,6.294305378766364,5.566312315598603,-2.142320966288088,0.21227430032665678,-2.4622285701603257,6
-2.6697925659891997,-2.243845926215183,3.507492342175574,6.445906043557271,5.84586035284504,-1.92878661991082,0.17047225152173687,-1.988465656157622,6
-2.5557074860841196,-1.234116152682217,3.499892053552213,6.5784519434534845,5.530606377707399,-1.6518625581711666,0.3219321313550947,-2.846737077446296,6
-2.54456189453491,-1.5372405301109175,3.5484143514038387,6.6162028897212375,5.692161763659449,-1.7793888441674763,0.20722517135485072,-2.56817027385114,6
-2.52369527431467,-1.6113224743870096,3.431729867682712,6.6074917685988,5.8868626883375095,-1.7665515297093664,0.36830136494078825,-2.013453727534199,6
-2.477113439777559,-1.8812898413203516,3.3630057573915524,5.817787570289435,5.280273562226893,-2.469480620397372,0.21427650307085863,-1.8852163184389041,6
-2.2193369722683065,-1.315645044890958,3.423830749607955,6.309809575607384,5.683312618907328,-1.8853293036861554,0.2581360605510134,-2.6112968382242245,6
-2.501730855718244,-1.0620633145636493,3.2197175567341194,6.379766217571847,5.310364782807327,-1.567109334998294,0.17989319166699416,-2.976599295216917,6
-2.807080362130066,-0.8606462526901376,3.089530001941831,6.112204828836196,4.801333675992821,-1.3644620378911922,0.3282329965487855,-3.2304409182168983,6
-2.4912593967408134,-1.7382933161256355,3.4234619812631397,6.078309226007061,5.397059507364852,-2.3124750493365727,0.27183401946257973,-2.1703709063050773,6
-0.644290757006941,5.730627517973283,-0.30074338311948345,4.168286664144748,5.937032422030647,-0.9448469624733268,-0.42912512016403176,-1.9987691080329875,6
-2.4912062646382194,-0.9263832556898394,3.6941723620337,6.437646614563137,5.306148318057998,-1.575142635111438,0.2401753877033748,-2.885009860129281,6
-2.1623793646481477,-1.2878398835836709,3.558990573902624,6.508984030272496,5.32304267575676,-1.6319653018032017,0.31414352282632557,-2.9263558018755056,6
-1.9255868572712638,-2.3132534753698764,3.4932869381053773,6.663389121806794,5.749481397158355,-1.9539516896198883,0.3392608699565039,-1.9709112694722024,6
-2.5941538303351854,-1.0005888396117049,3.6758984457441874,6.488262641334645,5.256127011716359,-1.5024931638195587,0.26311307116385424,-3.0027687277124713,6
-2.53327434306871,-1.4524905436720243,3.559533025999356,6.977930818533016,5.458089235259277,-1.4893159531273206,0.3432558040186955,-2.8280083344079774,6
-0.992404131689587,-0.6316192454318902,3.285391440659651,6.652242557046988,5.95690663214026,-1.544623765360813,0.19410220390142152,-2.8277804709203767,6
-2.716147855118195,-0.9960043502703281,3.4166892514915177,6.502885119105752,5.410668967786861,-1.648978955545238,0.2959787262511715,-2.969089318636426,6
-2.8163043584739156,-1.0521775072741242,3.593374932935299,6.7399341100811245,5.501399647044194,-1.4955865896327534,0.29955643730688253,-2.8857322098924367,6
-2.484035266156882,-0.6195450506362659,3.6556845353745513,6.198650650767145,4.988441808740721,-1.389451230171029,0.16957971187195955,-3.1606753407611743,6
-1.684437517014302,-2.5720718391889066,3.1147432555877037,5.776200028449744,4.883936767558597,-1.6894628863950618,0.23764718353515768,-0.4852697527432963,6
-2.4852905268026064,-1.1651828763894954,3.5164523536995174,6.488359762361695,5.341789781645816,-1.5095541772022918,0.18906390171618492,-2.7777153294231773,6
-2.3644019813720045,-1.6206601896596393,3.1796218474270366,6.365076410898821,5.826315764060106,-1.9215743489860713,0.43449235278195,-1.9688735156767605,6
-2.4006878013444126,-1.651840396536488,3.3890112907896057,6.65779500826846,5.776660377559623,-1.8053142126179071,0.3903472035685029,-2.199422178357496,6
-2.311187999275431,-0.9161696094551396,3.5852944202808135,6.521543769264767,5.383613336301169,-1.4937954476302577,0.2760903873633189,-2.965823973468457,6
-2.6142881649269656,-1.544040341689515,3.6130844497900867,6.526313551372713,5.6635928359503245,-2.03974281206273,0.29916857200902985,-2.546935704963836,6
-2.9180581440239175,-1.1874675208302086,3.4769951354708812,6.53123774475208,5.339673273396666,-1.6306835163919822,0.33881831815478064,-2.8700798527608438,6
-2.597335940674704,-1.6264889853270512,3.5576076446754903,6.731996984357328,5.733849158147827,-1.6916367491380073,0.3778482655809095,-2.6424845278919853,6
-2.252014505740143,-1.4000461825210502,3.56934390113254,6.768561218159139,5.652223971827938,-1.639242262306493,0.3192346224640054,-2.708020743007549,6
-1.8010208862354031,-2.504571397892731,3.7475584965196216,6.02025536418689,4.204626992138981,-1.010748404091567,0.08635644891693552,-1.3738612978632578,6
