,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.37759787,0.17397085,0.7767885,-0.41531995,0.09739967,-0.19434759,-0.13710214,0.04779389,0.236105,0.35776165,1.3552109,0.35093668,0.5684675,-0.26194316,-0.44417062,0.764813,-1.0852907,-0.51770455,-0.5671873,0.5009976,0.68013287,0.8177976,-0.4903805,-1.14129,-0.6013991,0.10249529,0.41508403,0.62072164,0.29210263,0.13665251,-0.23399642,0.59258986,-0.6851735,-0.07486566,0.13904522,-0.42520225,-0.10930048,0.68850577,0.088683024,-0.6567991,0.45245567,0.4866762,-0.6907022,-0.27812797,0.81520575,0.941449,-0.40850332,0.056983966,-0.7637234,0.4872136,0.7079344,-0.29387954,-0.624188,0.8763508,0.508161,-0.2900826,-0.09491806,-1.0786088,-0.19165702,-0.23755509,-0.19859661,0.09661097,-0.3955528,-0.29801947
1,0.28263998,0.17221427,0.3742264,-0.5665545,0.25008255,-0.13024837,-0.0038498698,0.09856096,-0.16936003,0.2201561,0.8478697,0.028788328,0.086325884,-0.19807225,-0.2476281,0.6043943,-0.87130696,-0.33032802,-0.46815515,0.2358333,0.57560676,0.3231726,-0.44872394,-0.8078461,-0.2660979,0.19608644,-0.23008116,0.102468714,0.12776631,0.10290985,-0.23340142,0.3507636,-0.36744186,-0.34995326,0.1085969,-0.4506728,-0.06156223,0.47686446,-0.22894719,-0.32349777,0.0666408,0.5797277,-0.5412994,0.01398243,0.8109005,0.757518,-0.10236787,-0.0062448466,-0.20359829,0.31662256,0.43662181,-0.2144434,-0.1962615,0.54618114,0.37969044,-0.07825574,0.2443427,-0.96906894,-0.09544523,-0.23927252,-0.20946643,0.14134687,-0.2447057,-0.0061531197
2,0.50847757,0.054854505,0.40223002,-0.25717682,0.21616822,0.30361152,-0.19089745,0.0648329,-0.13403524,0.38914707,0.68190247,0.14286147,0.3103808,-0.29989812,-0.33665842,0.4979088,-0.82676506,-0.51448005,-0.3728677,0.6243993,0.28532022,0.5436999,-0.31339213,-0.89652336,-0.30127713,-0.052166164,0.34787992,0.11499271,-0.16713437,0.08542823,-0.05168028,0.35891324,-0.15217303,-0.23954698,0.50570184,-0.32118532,-0.33472925,0.24192002,0.06395287,-0.23391825,0.07023665,0.20787264,-0.59148735,-0.1456935,0.3399162,0.42234188,-0.049336277,-0.10778203,-0.568546,0.36283064,0.5328622,0.039340712,-0.47115734,0.39777747,0.30946183,-0.26099354,0.0025764883,-0.707399,-0.05840053,-0.1494732,-0.3303334,-0.062250588,-0.5188082,-0.1694746
3,0.26192474,0.21053083,0.4320432,-0.3839715,0.23646381,-0.1561647,-0.037201896,0.0916416,-0.1570732,0.22018823,0.76687926,0.029012907,0.03709316,-0.25620866,-0.3855079,0.52391076,-0.7951771,-0.38024884,-0.39702177,0.27369952,0.5703177,0.3506399,-0.42875332,-0.7761007,-0.32386962,0.10515573,-0.1553338,0.14173284,0.0931934,0.20143184,-0.27302808,0.33758175,-0.43724144,-0.31568033,0.1951933,-0.37789598,-0.07090215,0.534045,-0.25933763,-0.31200966,0.07076825,0.5233686,-0.4981748,0.04469397,0.68421847,0.7985669,-0.18029001,0.004276392,-0.17833674,0.32202426,0.39402658,-0.08371256,-0.13676329,0.60205406,0.27632654,-0.048110362,0.14402647,-0.86262393,-0.16493924,-0.19161877,-0.1914497,0.06354168,-0.2472786,-0.018325908
4,0.3635412,-0.073872775,-0.042278152,-0.012721578,-0.08967806,-0.33142042,0.0292685,-0.19131416,0.05025082,0.16506574,1.1969112,-0.064310715,0.4524751,0.1820216,-0.3597966,0.7136444,-0.6991431,-0.2155496,-0.46524316,0.33717105,0.84798825,0.5680962,-0.58446354,-0.7352434,-0.75625116,-0.059753053,0.37476102,0.69774824,0.29179466,-0.118019246,-0.2431624,0.27638856,0.0016698673,-0.016565703,0.19863637,-0.37432158,0.17524144,0.15059938,0.24218862,-0.27403048,0.23646429,0.25606132,-0.38128135,-0.092768595,0.9056278,0.5777839,-0.22714564,0.106868014,-0.46887,0.2535325,0.075293,-0.24240501,-0.4158417,0.6004704,0.65180975,0.116648816,-0.27997318,-0.96967363,-0.16503796,-0.0055436725,-0.13416894,-0.11851868,-0.018936321,-0.25873157
5,0.21895966,0.1723913,0.34784055,-0.46688643,0.2464992,-0.11263973,0.010002014,0.05718239,-0.16524531,0.18366687,0.77004224,0.011391682,0.12544855,-0.17375979,-0.22848956,0.523348,-0.78083974,-0.32115787,-0.39296344,0.22127269,0.5165896,0.32181785,-0.40196407,-0.6720778,-0.2457954,0.14288113,-0.15935646,0.13154604,0.0825472,0.10498285,-0.20896432,0.2773147,-0.34332427,-0.27575392,0.14518648,-0.34833434,-0.06368882,0.40879157,-0.1731503,-0.26954034,0.10261394,0.47922683,-0.4900156,-0.042901427,0.67300797,0.6576729,-0.09304839,-0.020077733,-0.19042552,0.27776998,0.35923868,-0.15165174,-0.20818195,0.47441143,0.30155325,-0.062426724,0.15224053,-0.8544959,-0.06508799,-0.21758787,-0.19033322,0.111489765,-0.23881544,-0.0474847
6,0.4061047,0.25796714,0.3976621,-0.327865,0.23107485,0.16570514,-0.09049119,-0.014172993,0.0081385495,0.11425157,0.7302765,0.075685315,0.3179885,-0.080750495,-0.24828288,0.5360658,-0.85938805,-0.36791208,-0.35640967,0.4161307,0.3421279,0.42456797,-0.43111357,-0.5899954,-0.3963628,0.0791639,0.053452887,0.3412084,0.017227832,0.0034944918,-0.10915499,0.23604318,-0.35241908,-0.089424096,0.3389689,-0.18466547,-0.24109325,0.30490476,-0.1276458,-0.2795862,0.17981376,0.3202682,-0.6196778,-0.21018714,0.44682762,0.59565395,-0.0385712,-0.16066837,-0.33656424,0.38383394,0.34394458,-0.060272474,-0.3164189,0.6442099,0.3167747,-0.0738383,0.05241478,-0.78705263,-0.14421359,-0.22336476,-0.18465349,-0.08129089,-0.30717695,-0.17244129
7,0.2661804,0.27812394,0.39046824,-0.42954737,0.32146776,-0.16481394,0.054660756,0.07210576,-0.18121839,0.32964426,0.83695495,-0.049527414,0.045328252,-0.26000005,-0.40074727,0.5788923,-0.79832256,-0.44015446,-0.45046282,0.35329235,0.68098116,0.36608374,-0.48010185,-0.73922163,-0.2626972,0.050773796,-0.18796742,0.16534898,0.1725997,0.24516848,-0.3311185,0.19405666,-0.46693677,-0.32766077,0.17348878,-0.31520846,0.02151332,0.5995341,-0.29531318,-0.29449907,0.14138138,0.6201774,-0.5374079,-0.027174342,0.7781275,0.7982642,-0.13715993,0.07971272,-0.1346205,0.31291607,0.4101552,-0.05915402,-0.11645242,0.61046356,0.2684621,-0.10189871,0.118654735,-0.98425275,-0.037836816,-0.25836644,-0.20958875,0.07694871,-0.20462638,-0.030668447
8,0.14699662,0.061011333,0.43231538,-0.4834381,0.11400462,-0.01797667,-0.052539464,-0.0012832208,0.013524218,0.09225797,0.7457926,0.14069368,0.29178196,-0.094497666,-0.3179513,0.5119824,-0.7237215,-0.44545332,-0.39602846,0.30244204,0.45157453,0.28994063,-0.45422223,-0.8087755,-0.29835138,0.120914385,-0.060717367,0.31390026,-0.09375456,0.06409235,-0.18612619,0.24017629,-0.20295021,-0.15446249,0.12284944,-0.3400099,-0.007975953,0.47155297,-0.17025506,-0.31541488,0.19400905,0.36088926,-0.47412246,0.014200074,0.47311765,0.59381336,-0.097354665,0.055815767,-0.32018256,0.35812053,0.36779115,-0.18796569,-0.37989083,0.61044043,0.28990138,-0.047470383,0.032780338,-0.80564255,-0.15849856,-0.09975833,-0.36193123,0.12064588,-0.22052889,-0.07335728
9,0.3514754,0.23913053,0.6025056,-0.46595073,0.3124887,-0.35193342,0.038423248,0.076119825,-0.20994563,0.26353043,0.9443453,-0.048962384,-0.04461868,-0.3652592,-0.47877273,0.6972705,-0.93047565,-0.4468303,-0.5267794,0.27382326,0.7588897,0.4591823,-0.5165151,-0.9864719,-0.39166364,0.13337727,-0.31302342,0.1176828,0.14209409,0.23714563,-0.4286755,0.37390804,-0.6063072,-0.43663606,0.20664288,-0.48347247,-0.079916805,0.73877937,-0.39956036,-0.39632726,0.06526903,0.7742298,-0.6077035,0.1332835,0.9178582,0.9995483,-0.26703033,0.049701955,-0.11369493,0.4049097,0.4681646,-0.043242563,-0.11387195,0.7363743,0.32438618,0.029244762,0.20616835,-1.0960237,-0.25477883,-0.20457649,-0.20165443,0.1340111,-0.27022532,0.025845276
